Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Spring Onions,Bag,142,2159.0,3/1/2013 ,328
Horticulture,Chillies,Bag,38,2377.0,3/1/2013 ,329
Horticulture,Cucumber,Bag,50,2742.0,3/1/2013 ,330
Horticulture,Capsicums,Bag,50,2750.0,3/1/2013 ,331
Horticulture,Brinjals,Bag,44,1587.0,3/1/2013 ,332
Horticulture,Cauliflower,crate,39,2452.0,3/1/2013 ,333
Horticulture,Lettuce,Bag,51,3470.0,3/1/2013 ,334
Horticulture,Passion Fruits,Bag,57,3988.0,3/1/2013 ,335
Horticulture,Oranges,Bag,93,3053.0,3/1/2013 ,336
Horticulture,Lemons,Bag,95,2039.0,3/1/2013 ,337
Horticulture,Mangoes Local,Bag,126,2105.0,3/1/2013 ,338
Horticulture,Mangoes Ngowe,Sm Basket,25,1149.0,3/1/2013 ,339
Horticulture,Limes,net,13,679.0,3/1/2013 ,340
Horticulture,Pineapples,Dozen,13,728.0,3/1/2013 ,341
Horticulture,Pawpaw,Lg Box,54,1521.0,3/1/2013 ,342
Horticulture,Avocado,Bag,90,2322.0,3/1/2013 ,343
Horticulture,Kales,Bag,50,1039.0,3/1/2013 ,344
Horticulture,Cabbages,Ext Bag,126,1638.0,4/1/2013 ,345
Horticulture,Cooking Bananas,Med Bunch,22,545.0,4/1/2013 ,346
Horticulture,Ripe Bananas,Med Bunch,14,620.0,4/1/2013 ,347
Horticulture,Carrots,Ext Bag,138,3223.0,4/1/2013 ,348
Horticulture,Tomatoes,Lg Box,64,5182.0,4/1/2013 ,349
Horticulture,Onions Dry,net,13,850.0,4/1/2013 ,350
Horticulture,Spring Onions,Bag,142,2194.0,4/1/2013 ,351
Horticulture,Chillies,Bag,38,3064.0,4/1/2013 ,352
Horticulture,Cucumber,Bag,50,2405.0,4/1/2013 ,353
Horticulture,Capsicums,Bag,50,2930.0,4/1/2013 ,354
Horticulture,Brinjals,Bag,44,1664.0,4/1/2013 ,355
Horticulture,Cauliflower,crate,39,3781.0,4/1/2013 ,356
Horticulture,Lettuce,Bag,51,3202.0,4/1/2013 ,357
